Id2,Geography,Id,Population Group,Estimate; SEX AND AGE - Total population,Margin of Error; SEX AND AGE - Total population,Estimate; SEX AND AGE - Total population - Male,Margin of Error; SEX AND AGE - Total population - Male,Estimate; SEX AND AGE - Total population - Female,Margin of Error; SEX AND AGE - Total population - Female,Estimate; SEX AND AGE - Under 5 years,Margin of Error; SEX AND AGE - Under 5 years,Estimate; SEX AND AGE - 5 to 17 years,Margin of Error; SEX AND AGE - 5 to 17 years,Estimate; SEX AND AGE - 18 to 24 years,Margin of Error; SEX AND AGE - 18 to 24 years,Estimate; SEX AND AGE - 25 to 34 years,Margin of Error; SEX AND AGE - 25 to 34 years,Estimate; SEX AND AGE - 35 to 44 years,Margin of Error; SEX AND AGE - 35 to 44 years,Estimate; SEX AND AGE - 45 to 54 years,Margin of Error; SEX AND AGE - 45 to 54 years,Estimate; SEX AND AGE - 55 to 64 years,Margin of Error; SEX AND AGE - 55 to 64 years,Estimate; SEX AND AGE - 65 to 74 years,Margin of Error; SEX AND AGE - 65 to 74 years,Estimate; SEX AND AGE - 75 years and over,Margin of Error; SEX AND AGE - 75 years and over,Estimate; SEX AND AGE - Median age (years),Margin of Error; SEX AND AGE - Median age (years),Estimate; SEX AND AGE - Under 18 years,Margin of Error; SEX AND AGE - Under 18 years,Estimate; SEX AND AGE - Under 18 years - Male,Margin of Error; SEX AND AGE - Under 18 years - Male,Estimate; SEX AND AGE - Under 18 years - Female,Margin of Error; SEX AND AGE - Under 18 years - Female,Estimate; SEX AND AGE - 18 years and over,Margin of Error; SEX AND AGE - 18 years and over,Estimate; SEX AND AGE - 18 years and over - Male,Margin of Error; SEX AND AGE - 18 years and over - Male,Estimate; SEX AND AGE - 18 years and over - Female,Margin of Error; SEX AND AGE - 18 years and over - Female,Estimate; SEX AND AGE - 18 to 34 years,Margin of Error; SEX AND AGE - 18 to 34 years,Estimate; SEX AND AGE - 18 to 34 years - Male,Margin of Error; SEX AND AGE - 18 to 34 years - Male,Estimate; SEX AND AGE - 18 to 34 years - Female,Margin of Error; SEX AND AGE - 18 to 34 years - Female,Estimate; SEX AND AGE - 35 to 64 years,Margin of Error; SEX AND AGE - 35 to 64 years,Estimate; SEX AND AGE - 35 to 64 years - Male,Margin of Error; SEX AND AGE - 35 to 64 years - Male,Estimate; SEX AND AGE - 35 to 64 years - Female,Margin of Error; SEX AND AGE - 35 to 64 years - Female,Estimate; SEX AND AGE - 65 years and over,Margin of Error; SEX AND AGE - 65 years and over,Estimate; SEX AND AGE - 65 years and over - Male,Margin of Error; SEX AND AGE - 65 years and over - Male,Estimate; SEX AND AGE - 65 years and over - Female,Margin of Error; SEX AND AGE - 65 years and over - Female,Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over,Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over,Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - Less than high school diploma,Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - Less than high school diploma,Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - High school graduate (includes equivalency),Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - High school graduate (includes equivalency),Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - Some college or associate's degree,Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - Some college or associate's degree,Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - Bachelor's degree,Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - Bachelor's degree,Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - Graduate or professional degree,Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - Graduate or professional degree,Estimate; EDUCATIONAL ATTAINMENT - High school graduate or higher,Margin of Error; EDUCATIONAL ATTAINMENT - High school graduate or higher,"Estimate; EDUCATIONAL ATTAINMENT - High school graduate or higher - Male, high school graduate or higher","Margin of Error; EDUCATIONAL ATTAINMENT - High school graduate or higher - Male, high school graduate or higher","Estimate; EDUCATIONAL ATTAINMENT - High school graduate or higher - Female, high school graduate or higher","Margin of Error; EDUCATIONAL ATTAINMENT - High school graduate or higher - Female, high school graduate or higher",Estimate; EDUCATIONAL ATTAINMENT - Bachelor's degree or higher,Margin of Error; EDUCATIONAL ATTAINMENT - Bachelor's degree or higher,"Estimate; EDUCATIONAL ATTAINMENT - Bachelor's degree or higher - Male, bachelor's degree or higher","Margin of Error; EDUCATIONAL ATTAINMENT - Bachelor's degree or higher - Male, bachelor's degree or higher","Estimate; EDUCATIONAL ATTAINMENT - Bachelor's degree or higher - Female, bachelor's degree or higher","Margin of Error; EDUCATIONAL ATTAINMENT - Bachelor's degree or higher - Female, bachelor's degree or higher",Estimate; FERTILITY - Women 15 to 50 years,Margin of Error; FERTILITY - Women 15 to 50 years,Estimate; INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) - Households,Margin of Error; INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) - Households,Estimate; INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) - Households - Median household income (dollars),Margin of Error; INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) - Households - Median household income (dollars)
5,Arkansas,2,White alone,2322472,6143,49.4,0.1,50.6,0.1,5.9,0.1,16.1,0.1,9.2,0.1,12.6,0.1,12.4,0.1,13.2,0.1,13,0.1,10.2,0.1,7.5,0.1,40.1,0.2,509968,3189,51.4,0.4,48.6,0.4,1812504,3873,48.8,0.1,51.2,0.1,504681,3511,51.1,0.3,48.9,0.3,895976,2896,49.3,0.1,50.7,0.1,411847,1294,44.8,0.1,55.2,0.1,1599406,3524,13.6,0.5,35,0.7,29.1,0.6,14.5,0.5,7.8,0.3,86.4,0.5,85.6,0.7,87.3,0.5,22.3,0.6,22.2,0.8,22.3,0.7,521375,2947,906193,7188,44780,976
5,Arkansas,4,Black or African American alone,468231,4648,47.6,0.6,52.4,0.6,7.6,0.4,20.8,0.4,12.4,0.7,13.3,0.7,13,0.6,12.1,0.6,11.4,0.3,5.4,0.3,3.9,0.2,31.8,0.6,133207,3061,50.7,1.6,49.3,1.6,335024,3046,46.4,0.5,53.6,0.5,120585,3451,48.1,1.2,51.9,1.2,171041,2722,46.4,0.9,53.6,0.9,43398,1396,41.3,1.6,58.7,1.6,276933,3357,16.9,1,36.6,1.6,31.3,1.6,10.4,1.1,4.7,0.7,83.1,1,83.2,1.6,82.9,1.4,15.1,1.2,12.3,1.5,17.5,1.8,124559,2812,174566,4686,27657,1683
6,California,2,White alone,23814044,55051,49.9,0.1,50.1,0.1,6,0.1,16,0.1,9.6,0.1,14.1,0.1,12.7,0.1,13.8,0.1,12.7,0.1,8.5,0.1,6.6,0.1,38.3,0.2,5231172,25889,51.2,0.2,48.8,0.2,18582872,36801,49.6,0.1,50.4,0.1,5649739,19561,51.7,0.1,48.3,0.1,9336820,23379,50.2,0.1,49.8,0.1,3596313,9986,44.7,0.1,55.3,0.1,16285604,32250,15.6,0.2,21,0.2,30.8,0.2,20.1,0.2,12.5,0.1,84.4,0.2,83.9,0.2,84.9,0.2,32.6,0.2,33.4,0.3,31.8,0.2,5608506,18749,8501057,23835,65070,418
6,California,4,Black or African American alone,2259681,15273,49.3,0.3,50.7,0.3,6.1,0.2,16.6,0.2,11.6,0.2,14.8,0.2,12.8,0.2,14.4,0.2,12.3,0.1,6.7,0.1,4.7,0.1,35.7,0.3,513332,9112,50.6,0.7,49.4,0.7,1746349,9318,48.9,0.2,51.1,0.2,596440,6648,51.5,0.5,48.5,0.5,891556,6148,49.1,0.3,50.9,0.3,258353,1990,42.3,0.5,57.7,0.5,1484683,8788,10.8,0.4,24.1,0.6,42.3,0.8,14.4,0.5,8.3,0.4,89.2,0.4,87.7,0.6,90.5,0.5,22.7,0.6,21.3,0.8,24.1,0.7,579505,7037,816165,9891,42509,1165
6,California,6,"American Indian and Alaska Native alone (300, A01-Z99)",286631,13165,50.2,1.3,49.8,1.3,5.9,0.7,17.5,1.2,12.7,1,15.2,1,13.8,1.1,13.8,1,12.2,0.8,5.4,0.5,3.4,0.5,34.3,0.8,67288,5320,49.6,2.6,50.4,2.6,219343,10004,50.4,1.5,49.6,1.5,80098,4797,53.1,2.4,46.9,2.4,113995,6446,49.8,2.1,50.2,2.1,25250,1894,44.6,4.2,55.4,4.2,182895,8385,24.3,1.6,27.5,1.8,34.8,1.8,9.4,1.3,4.1,0.8,75.7,1.6,75,2.5,76.3,2,13.5,1.5,13.8,2,13.1,2.1,75044,4561,90487,4146,45956,2348
6,California,12,Asian alone (400-499),5398090,18287,47.3,0.1,52.7,0.1,5.1,0.1,13.8,0.1,9.1,0.1,15.8,0.1,15.5,0.1,14.5,0.1,12.5,0.1,7.7,0.1,5.9,0.1,39.1,0.2,1016923,10944,51.3,0.4,48.7,0.4,4381167,11111,46.4,0.1,53.6,0.1,1348058,7447,49.2,0.2,50.8,0.2,2298841,6902,45.8,0.1,54.2,0.1,734268,2964,43.2,0.2,56.8,0.2,3888609,9927,12.8,0.3,14.8,0.3,22.4,0.3,32.2,0.4,17.9,0.3,87.2,0.3,89.1,0.3,85.6,0.4,50,0.5,51.6,0.6,48.7,0.6,1476052,6722,1686190,11837,80080,1107
6,California,50,Native Hawaiian and Other Pacific Islander alone (500-599),150072,5167,49.1,1.5,50.9,1.5,5.7,0.9,16.2,1.5,11.3,1.4,17.7,1.7,17.5,1.6,12.8,1.4,10.9,1,5.1,0.8,2.7,0.7,34.4,1.2,32967,3053,49.9,4.3,50.1,4.3,117105,3776,48.9,1.4,51.1,1.4,43550,3369,51.3,2.1,48.7,2.1,61848,2624,47.7,2,52.3,2,11707,1318,46.3,5.4,53.7,5.4,100081,3511,16.1,2.1,31.9,2.5,36.4,2.8,11,1.6,4.7,1.3,83.9,2.1,84.5,2.7,83.4,2.8,15.6,2.1,15.9,3,15.4,2.9,44569,2279,41366,2535,58537,5825
6,California,70,Some other race alone,5114193,54578,51,0.2,49,0.2,8,0.2,21.7,0.3,12.9,0.2,16.8,0.3,15.1,0.2,12.6,0.2,7.4,0.2,3.3,0.1,2,0.1,29.3,0.3,1519991,24362,51,0.5,49,0.5,3594202,38331,51,0.3,49,0.3,1523277,20757,52.6,0.5,47.4,0.5,1798713,22746,50.8,0.4,49.2,0.4,272212,9424,42.8,1.1,57.2,1.1,2932618,31530,42.1,0.5,26.4,0.5,22.3,0.5,7,0.3,2.2,0.2,57.9,0.5,57.6,0.7,58.2,0.7,9.1,0.3,8.2,0.4,10.1,0.4,1431768,17305,1230432,15796,46015,722
8,Colorado,2,White alone,4520381,14471,50.2,0.1,49.8,0.1,5.8,0.1,16.2,0.1,9.4,0.1,14.6,0.1,13.4,0.1,13.6,0.1,13.3,0.1,8.3,0.1,5.5,0.1,37.8,0.1,993267,7447,51.4,0.3,48.6,0.3,3527114,9112,49.9,0.1,50.1,0.1,1083892,5837,51.9,0.2,48.1,0.2,1818781,5636,50.1,0.1,49.9,0.1,624441,1976,45.6,0.1,54.4,0.1,3103425,7757,8.1,0.3,21.6,0.4,30.3,0.4,25.1,0.4,14.9,0.3,91.9,0.3,91,0.4,92.7,0.3,40,0.5,39.5,0.6,40.5,0.5,1068584,6051,1786357,8098,63790,853
8,Colorado,4,Black or African American alone,215446,4979,54.3,0.9,45.7,0.9,6.9,0.7,18.5,0.9,12.7,0.8,17,0.9,13.5,0.8,13.4,0.6,10,0.6,5,0.3,3.2,0.3,32.2,0.7,54620,3309,53.4,2.3,46.6,2.3,160826,3004,54.7,1,45.3,1,64032,2415,57.8,2,42.2,2,79289,2397,53.9,1.3,46.1,1.3,17505,802,46.6,2.2,53.4,2.2,133513,2480,9.7,1.4,26.8,2.3,40.3,2.5,14.2,1.9,9,1.3,90.3,1.4,90.7,1.9,89.7,1.9,23.2,2.2,19.9,2.5,26.9,3.3,51909,2307,73539,2962,41763,2462
8,Colorado,12,Asian alone (400-499),157958,4063,45.3,1,54.7,1,6,0.6,16.4,0.9,9.3,0.8,17.8,0.9,18.1,1,13.1,0.9,10.1,0.6,5.7,0.6,3.5,0.6,35.3,0.7,35393,2240,48.3,3.4,51.7,3.4,122565,2684,44.5,0.9,55.5,0.9,42727,1783,46.5,2.2,53.5,2.2,65235,1882,44.5,1.3,55.5,1.3,14603,733,38.7,2.3,61.3,2.3,107878,2337,14.8,2.1,15.3,1.9,18.4,1.8,29.5,2,22,2,85.2,2.1,85,3,85.3,2.1,51.5,2.5,52,3.3,51.1,3.1,48195,1907,49014,2285,60000,4901
8,Colorado,70,Some other race alone,215290,14446,52.8,1.5,47.2,1.5,7.3,1,23.2,1.7,12.6,1.3,16,1.6,16.5,1.3,11.6,1.3,7.3,0.9,4,0.6,1.5,0.4,29.5,1.1,65674,7279,54.4,3,45.6,3,149616,8598,52.1,1.6,47.9,1.6,61429,4868,54.2,3,45.8,3,76166,5258,51.5,2.1,48.5,2.1,12021,1655,44.7,5.7,55.3,5.7,122526,7678,35.1,2.7,27.3,2.8,26,2.2,8.1,1.7,3.4,0.8,64.9,2.7,62.3,3.6,67.5,3.5,11.6,1.7,11,2.4,12.2,2.5,59557,4851,63373,4211,40278,4092
9,Connecticut,2,White alone,2763949,11640,48.7,0.1,51.3,0.1,4.5,0.1,14.9,0.1,9.1,0.1,11.1,0.1,11.5,0.1,15.9,0.1,15.1,0.1,9.6,0.1,8.2,0.1,44.2,0.2,536555,4948,51.1,0.4,48.9,0.4,2227394,8489,48.1,0.1,51.9,0.1,558978,5500,50.9,0.3,49.1,0.3,1173940,5362,48.8,0.1,51.2,0.1,494476,1517,43.4,0.1,56.6,0.1,1976309,6941,7.9,0.4,27.1,0.6,24.6,0.5,22.7,0.5,17.7,0.5,92.1,0.4,91.9,0.4,92.3,0.5,40.4,0.5,40.3,0.7,40.4,0.7,617283,4733,1096451,8068,76008,864
9,Connecticut,4,Black or African American alone,371857,7049,47.9,0.7,52.1,0.7,6.4,0.4,19.3,0.6,12.1,0.5,14.4,0.5,13.4,0.4,14.3,0.4,10.3,0.3,5.9,0.2,3.9,0.2,33.2,0.7,95552,3738,51.5,1.5,48.5,1.5,276305,4617,46.6,0.7,53.4,0.7,98439,3021,49.4,1.3,50.6,1.3,141558,2884,46.6,0.9,53.4,0.9,36308,914,39,1.4,61,1.4,231444,3932,14.3,1.1,33.4,1.9,31,1.6,13.3,1.3,8.1,1.1,85.7,1.1,84.3,1.8,86.9,1.4,21.3,1.6,19.5,2.2,22.8,2.2,101912,2702,126954,4024,45002,3991
9,Connecticut,12,Asian alone (400-499),151402,3740,46.9,0.9,53.1,0.9,5.8,0.6,15.7,0.9,11,0.7,17.9,0.9,19.1,0.8,13.9,0.8,9.2,0.5,4.9,0.5,2.4,0.5,34.7,0.8,32661,2089,48.8,2.9,51.2,2.9,118741,2377,46.3,1.1,53.7,1.1,43850,1775,48,2,52,2,63854,1753,45.8,1.2,54.2,1.2,11037,759,42.8,2.9,57.2,2.9,102025,2024,10.4,1.8,12.5,2,11.5,1.7,32.7,2.7,32.9,2.6,89.6,1.8,91.3,2.1,88.1,2.2,65.6,2.6,69.5,3.1,62.3,3,49286,1863,50110,2145,88529,5945
9,Connecticut,70,Some other race alone,197532,12084,52.4,1.5,47.6,1.5,7.2,0.8,22,1.5,11.9,1.2,18.3,1.7,16.8,1.4,13.2,1.4,6.4,0.9,2.7,0.5,1.7,0.4,30.1,1.3,57678,5071,53.4,3,46.6,3,139854,9015,52,1.6,48,1.6,59526,5266,55.5,3.4,44.5,3.4,71731,5430,50.4,2.3,49.6,2.3,8597,1471,40.7,6.1,59.3,6.1,116400,7266,34.3,3.2,35.4,3.1,19.9,2.8,6.3,1.4,4.1,1,65.7,3.2,63.9,4.7,67.6,3.9,10.4,1.8,10.8,2.7,10,2.2,56171,4087,56494,3721,34444,4321
