EST_VC139,Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - Graduate or professional degree
MOE_VC139,Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - Graduate or professional degree
EST_VC142,Estimate; EDUCATIONAL ATTAINMENT - High school graduate or higher
MOE_VC142,Margin of Error; EDUCATIONAL ATTAINMENT - High school graduate or higher
EST_VC143,"Estimate; EDUCATIONAL ATTAINMENT - High school graduate or higher - Male, high school graduate or higher"
MOE_VC143,"Margin of Error; EDUCATIONAL ATTAINMENT - High school graduate or higher - Male, high school graduate or higher"
EST_VC144,"Estimate; EDUCATIONAL ATTAINMENT - High school graduate or higher - Female, high school graduate or higher"
MOE_VC144,"Margin of Error; EDUCATIONAL ATTAINMENT - High school graduate or higher - Female, high school graduate or higher"
EST_VC145,Estimate; EDUCATIONAL ATTAINMENT - Bachelor's degree or higher
MOE_VC145,Margin of Error; EDUCATIONAL ATTAINMENT - Bachelor's degree or higher
EST_VC146,"Estimate; EDUCATIONAL ATTAINMENT - Bachelor's degree or higher - Male, bachelor's degree or higher"
MOE_VC146,"Margin of Error; EDUCATIONAL ATTAINMENT - Bachelor's degree or higher - Male, bachelor's degree or higher"
EST_VC147,"Estimate; EDUCATIONAL ATTAINMENT - Bachelor's degree or higher - Female, bachelor's degree or higher"
MOE_VC147,"Margin of Error; EDUCATIONAL ATTAINMENT - Bachelor's degree or higher - Female, bachelor's degree or higher"
EST_VC151,Estimate; FERTILITY - Women 15 to 50 years
MOE_VC151,Margin of Error; FERTILITY - Women 15 to 50 years
EST_VC318,Estimate; INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Households
MOE_VC318,Margin of Error; INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Households
EST_VC319,Estimate; INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Households - Median household income (dollars)
MOE_VC319,Margin of Error; INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Households - Median household income (dollars)
